response,id,name,gender,race,height,weight,eye-color,hair-color,full_name,alter_egos,aliases,place_of_birth,first_appearance,publisher,alignment,group-affiliation,relatives,intelligence,strength,speed,durability,power,combat,occupation,base
success,4,Abomination,Male,Human / Radiation,6'8,980 lb,Green,No Hair,Emil Blonsky,No alter egos found.,Agent R-7,"Zagreb, Yugoslavia",Tales to Astonish #90,Marvel Comics,bad,"former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)",63,80,53,90,62,95,Ex-Spy,Mobile
success,4,Abomination,Male,Human / Radiation,6'8,980 lb,Green,No Hair,Emil Blonsky,No alter egos found.,Ravager of Worlds,"Zagreb, Yugoslavia",Tales to Astonish #90,Marvel Comics,bad,"former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)",63,80,53,90,62,95,Ex-Spy,Mobile
success,4,Abomination,Male,Human / Radiation,203 cm,441 kg,Green,No Hair,Emil Blonsky,No alter egos found.,Agent R-7,"Zagreb, Yugoslavia",Tales to Astonish #90,Marvel Comics,bad,"former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)",63,80,53,90,62,95,Ex-Spy,Mobile
success,4,Abomination,Male,Human / Radiation,203 cm,441 kg,Green,No Hair,Emil Blonsky,No alter egos found.,Ravager of Worlds,"Zagreb, Yugoslavia",Tales to Astonish #90,Marvel Comics,bad,"former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)",63,80,53,90,62,95,Ex-Spy,Mobile
success,5,Abraxas,Male,Cosmic Entity,-,- lb,Blue,Black,Abraxas,No alter egos found.,-,Within Eternity,Fantastic Four Annual #2001,Marvel Comics,bad,Cosmic Beings,"Eternity (""Father"")",88,63,83,100,100,55,Dimensional destroyer,-
success,5,Abraxas,Male,Cosmic Entity,0 cm,0 kg,Blue,Black,Abraxas,No alter egos found.,-,Within Eternity,Fantastic Four Annual #2001,Marvel Comics,bad,Cosmic Beings,"Eternity (""Father"")",88,63,83,100,100,55,Dimensional destroyer,-
success,6,Absorbing Man,Male,Human,6'4,270 lb,Blue,No Hair,Carl Creel,No alter egos found.,Greithoth,"New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",38,80,25,100,98,64,Professional criminal; former professional boxer,-
success,6,Absorbing Man,Male,Human,6'4,270 lb,Blue,No Hair,Carl Creel,No alter egos found.,"""Crusher"" Creel","New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",38,80,25,100,98,64,Professional criminal; former professional boxer,-
success,6,Absorbing Man,Male,Human,6'4,270 lb,Blue,No Hair,Carl Creel,No alter egos found.,Rocky Davis,"New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",38,80,25,100,98,64,Professional criminal; former professional boxer,-
success,6,Absorbing Man,Male,Human,6'4,270 lb,Blue,No Hair,Carl Creel,No alter egos found.,Dynamite Davis,"New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",38,80,25,100,98,64,Professional criminal; former professional boxer,-
success,6,Absorbing Man,Male,Human,6'4,270 lb,Blue,No Hair,Carl Creel,No alter egos found.,Lightningbolt,"New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",38,80,25,100,98,64,Professional criminal; former professional boxer,-
success,6,Absorbing Man,Male,Human,6'4,270 lb,Blue,No Hair,Carl Creel,No alter egos found.,Prisoner #24957,"New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",38,80,25,100,98,64,Professional criminal; former professional boxer,-
success,6,Absorbing Man,Male,Human,193 cm,122 kg,Blue,No Hair,Carl Creel,No alter egos found.,Greithoth,"New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",38,80,25,100,98,64,Professional criminal; former professional boxer,-
success,6,Absorbing Man,Male,Human,193 cm,122 kg,Blue,No Hair,Carl Creel,No alter egos found.,"""Crusher"" Creel","New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",38,80,25,100,98,64,Professional criminal; former professional boxer,-
success,6,Absorbing Man,Male,Human,193 cm,122 kg,Blue,No Hair,Carl Creel,No alter egos found.,Rocky Davis,"New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",38,80,25,100,98,64,Professional criminal; former professional boxer,-
success,6,Absorbing Man,Male,Human,193 cm,122 kg,Blue,No Hair,Carl Creel,No alter egos found.,Dynamite Davis,"New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",38,80,25,100,98,64,Professional criminal; former professional boxer,-
success,6,Absorbing Man,Male,Human,193 cm,122 kg,Blue,No Hair,Carl Creel,No alter egos found.,Lightningbolt,"New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",38,80,25,100,98,64,Professional criminal; former professional boxer,-
success,6,Absorbing Man,Male,Human,193 cm,122 kg,Blue,No Hair,Carl Creel,No alter egos found.,Prisoner #24957,"New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",38,80,25,100,98,64,Professional criminal; former professional boxer,-
success,7,Adam Monroe,Male,null,-,- lb,Blue,Blond,,No alter egos found.,Takezo Kensei,-,Heroes S02E01 - Four Months Later...,NBC - Heroes,good,-,-,63,10,12,100,100,64,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army","U.S.; formerly Diedenshausen, Germany; Milan, Italy; Paris, France; Japan; England; Atlanta, GA; Montreal, Canada"
success,7,Adam Monroe,Male,null,-,- lb,Blue,Blond,,No alter egos found.,Richard Sanders,-,Heroes S02E01 - Four Months Later...,NBC - Heroes,good,-,-,63,10,12,100,100,64,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army","U.S.; formerly Diedenshausen, Germany; Milan, Italy; Paris, France; Japan; England; Atlanta, GA; Montreal, Canada"
success,7,Adam Monroe,Male,null,0 cm,0 kg,Blue,Blond,,No alter egos found.,Takezo Kensei,-,Heroes S02E01 - Four Months Later...,NBC - Heroes,good,-,-,63,10,12,100,100,64,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army","U.S.; formerly Diedenshausen, Germany; Milan, Italy; Paris, France; Japan; England; Atlanta, GA; Montreal, Canada"
success,7,Adam Monroe,Male,null,0 cm,0 kg,Blue,Blond,,No alter egos found.,Richard Sanders,-,Heroes S02E01 - Four Months Later...,NBC - Heroes,good,-,-,63,10,12,100,100,64,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army","U.S.; formerly Diedenshausen, Germany; Milan, Italy; Paris, France; Japan; England; Atlanta, GA; Montreal, Canada"
success,8,Adam Strange,Male,Human,6'1,195 lb,Blue,Blond,Adam Strange,No alter egos found.,Warrior of Two Worlds,"Chicago, Illinois","Outsiders #6 (April, 1986)",DC Comics,good,"Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)",69,10,33,40,37,50,"Adventurer, archaelogist, ambassador","Rann, Alpha Centauri System"
success,8,Adam Strange,Male,Human,6'1,195 lb,Blue,Blond,Adam Strange,No alter egos found.,Savior of Rann,"Chicago, Illinois","Outsiders #6 (April, 1986)",DC Comics,good,"Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)",69,10,33,40,37,50,"Adventurer, archaelogist, ambassador","Rann, Alpha Centauri System"
success,8,Adam Strange,Male,Human,185 cm,88 kg,Blue,Blond,Adam Strange,No alter egos found.,Warrior of Two Worlds,"Chicago, Illinois","Outsiders #6 (April, 1986)",DC Comics,good,"Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)",69,10,33,40,37,50,"Adventurer, archaelogist, ambassador","Rann, Alpha Centauri System"
success,8,Adam Strange,Male,Human,185 cm,88 kg,Blue,Blond,Adam Strange,No alter egos found.,Savior of Rann,"Chicago, Illinois","Outsiders #6 (April, 1986)",DC Comics,good,"Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)",69,10,33,40,37,50,"Adventurer, archaelogist, ambassador","Rann, Alpha Centauri System"
success,9,Agent 13,Female,null,5'8,135 lb,Blue,Blond,Sharon Carter,Sharon Carter,-,-,Tales of Suspense #75,Sharon Carter,good,Agent of SHIELD.; former member of the Femme Force,"Harrison Carter (father), Amanda Carter (mother), Margaret ""Peggy"" Carter (sister)",null,46,null,null,null,null,Agent of SHIELD,"S.H.I.E.L.D. Headquarters, New York City"
success,9,Agent 13,Female,null,173 cm,61 kg,Blue,Blond,Sharon Carter,Sharon Carter,-,-,Tales of Suspense #75,Sharon Carter,good,Agent of SHIELD.; former member of the Femme Force,"Harrison Carter (father), Amanda Carter (mother), Margaret ""Peggy"" Carter (sister)",null,46,null,null,null,null,Agent of SHIELD,"S.H.I.E.L.D. Headquarters, New York City"
success,10,Agent Bob,Male,Human,5'10,181 lb,Brown,Brown,Bob,No alter egos found.,Bob,-,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,good,"A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),10,8,13,5,5,20,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier"
success,10,Agent Bob,Male,Human,5'10,181 lb,Brown,Brown,Bob,No alter egos found.,agent of Hydra,-,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,good,"A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),10,8,13,5,5,20,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier"
success,10,Agent Bob,Male,Human,5'10,181 lb,Brown,Brown,Bob,No alter egos found.,Bob,-,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,good,"A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),10,8,13,5,5,20,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier"
success,10,Agent Bob,Male,Human,5'10,181 lb,Brown,Brown,Bob,No alter egos found.,agent of A.I.M,-,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,good,"A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),10,8,13,5,5,20,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier"
success,10,Agent Bob,Male,Human,178 cm,81 kg,Brown,Brown,Bob,No alter egos found.,Bob,-,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,good,"A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),10,8,13,5,5,20,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier"
success,10,Agent Bob,Male,Human,178 cm,81 kg,Brown,Brown,Bob,No alter egos found.,agent of Hydra,-,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,good,"A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),10,8,13,5,5,20,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier"
success,10,Agent Bob,Male,Human,178 cm,81 kg,Brown,Brown,Bob,No alter egos found.,Bob,-,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,good,"A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),10,8,13,5,5,20,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier"
success,10,Agent Bob,Male,Human,178 cm,81 kg,Brown,Brown,Bob,No alter egos found.,agent of A.I.M,-,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,good,"A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),10,8,13,5,5,20,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier"
success,11,Agent Zero,Male,null,6'3,230 lb,-,-,Christoph Nord,No alter egos found.,Maverick,Unrevealed location in former East Germany,-,Marvel Comics,good,"Formerly Weapon X, Weapon Plus, Team X, Cell Six, former bodyguard of Psi-Borg, former agent of Major Barrington","Unidentified parents (deceased), Andreas Nord (brother, deceased), Ginetta Lucia Barsalini (wife, deceased), unnamed child (deceased)",75,28,38,80,72,95,"Mercenary, former government operative, freedom fighter",-
success,11,Agent Zero,Male,null,191 cm,104 kg,-,-,Christoph Nord,No alter egos found.,Maverick,Unrevealed location in former East Germany,-,Marvel Comics,good,"Formerly Weapon X, Weapon Plus, Team X, Cell Six, former bodyguard of Psi-Borg, former agent of Major Barrington","Unidentified parents (deceased), Andreas Nord (brother, deceased), Ginetta Lucia Barsalini (wife, deceased), unnamed child (deceased)",75,28,38,80,72,95,"Mercenary, former government operative, freedom fighter",-
success,12,Air-Walker,Male,null,6'2,240 lb,Blue,White,Gabriel Lan,No alter egos found.,-,"Xandar, a planet in the Tranta system, Andromeda galaxy",Fantastic Four #120,Marvel Comics,bad,"Former member of Nova Corps, Heralds of Galactus",-,50,85,100,85,100,40,"Former starship captain, Herald of Galactus",-
success,12,Air-Walker,Male,null,188 cm,108 kg,Blue,White,Gabriel Lan,No alter egos found.,-,"Xandar, a planet in the Tranta system, Andromeda galaxy",Fantastic Four #120,Marvel Comics,bad,"Former member of Nova Corps, Heralds of Galactus",-,50,85,100,85,100,40,"Former starship captain, Herald of Galactus",-
success,13,Ajax,Male,Cyborg,6'4,200 lb,Brown,Black,Francis,No alter egos found.,"""Frankie""",-,"Deadpool #14 (March, 1998)",Marvel Comics,bad,Formerly Weapon X,-,56,48,35,80,34,55,-,-
success,13,Ajax,Male,Cyborg,6'4,200 lb,Brown,Black,Francis,No alter egos found.,the A-Man,-,"Deadpool #14 (March, 1998)",Marvel Comics,bad,Formerly Weapon X,-,56,48,35,80,34,55,-,-
success,13,Ajax,Male,Cyborg,6'4,200 lb,Brown,Black,Francis,No alter egos found.,the Attending,-,"Deadpool #14 (March, 1998)",Marvel Comics,bad,Formerly Weapon X,-,56,48,35,80,34,55,-,-
success,13,Ajax,Male,Cyborg,193 cm,90 kg,Brown,Black,Francis,No alter egos found.,"""Frankie""",-,"Deadpool #14 (March, 1998)",Marvel Comics,bad,Formerly Weapon X,-,56,48,35,80,34,55,-,-
success,13,Ajax,Male,Cyborg,193 cm,90 kg,Brown,Black,Francis,No alter egos found.,the A-Man,-,"Deadpool #14 (March, 1998)",Marvel Comics,bad,Formerly Weapon X,-,56,48,35,80,34,55,-,-
success,13,Ajax,Male,Cyborg,193 cm,90 kg,Brown,Black,Francis,No alter egos found.,the Attending,-,"Deadpool #14 (March, 1998)",Marvel Comics,bad,Formerly Weapon X,-,56,48,35,80,34,55,-,-
success,14,Alan Scott,Male,null,5'11,201 lb,Blue,Blond,Alan Ladd Wellington Scott,No alter egos found.,Green Lantern,Gotham City,All-American Comics 16 (1940),DC Comics,good,Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron,"Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)",63,80,23,90,100,32,-,Gotham City and New York City; Formerly Capitol City
success,14,Alan Scott,Male,null,5'11,201 lb,Blue,Blond,Alan Ladd Wellington Scott,No alter egos found.,White King,Gotham City,All-American Comics 16 (1940),DC Comics,good,Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron,"Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)",63,80,23,90,100,32,-,Gotham City and New York City; Formerly Capitol City
success,14,Alan Scott,Male,null,5'11,201 lb,Blue,Blond,Alan Ladd Wellington Scott,No alter egos found.,Sentinal,Gotham City,All-American Comics 16 (1940),DC Comics,good,Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron,"Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)",63,80,23,90,100,32,-,Gotham City and New York City; Formerly Capitol City
success,14,Alan Scott,Male,null,180 cm,90 kg,Blue,Blond,Alan Ladd Wellington Scott,No alter egos found.,Green Lantern,Gotham City,All-American Comics 16 (1940),DC Comics,good,Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron,"Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)",63,80,23,90,100,32,-,Gotham City and New York City; Formerly Capitol City
success,14,Alan Scott,Male,null,180 cm,90 kg,Blue,Blond,Alan Ladd Wellington Scott,No alter egos found.,White King,Gotham City,All-American Comics 16 (1940),DC Comics,good,Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron,"Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)",63,80,23,90,100,32,-,Gotham City and New York City; Formerly Capitol City
success,14,Alan Scott,Male,null,180 cm,90 kg,Blue,Blond,Alan Ladd Wellington Scott,No alter egos found.,Sentinal,Gotham City,All-American Comics 16 (1940),DC Comics,good,Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron,"Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)",63,80,23,90,100,32,-,Gotham City and New York City; Formerly Capitol City
success,15,Alex Mercer,Male,Human,-,- lb,-,-,Alexander J. Mercer,No alter egos found.,Prototype,-,-,Wildstorm,bad,"Gentek, The Infected",Dana Mercer (sister),50,80,42,90,100,50,-,-
success,15,Alex Mercer,Male,Human,-,- lb,-,-,Alexander J. Mercer,No alter egos found.,Zues,-,-,Wildstorm,bad,"Gentek, The Infected",Dana Mercer (sister),50,80,42,90,100,50,-,-
success,15,Alex Mercer,Male,Human,-,- lb,-,-,Alexander J. Mercer,No alter egos found.,Blacklight,-,-,Wildstorm,bad,"Gentek, The Infected",Dana Mercer (sister),50,80,42,90,100,50,-,-
success,15,Alex Mercer,Male,Human,0 cm,0 kg,-,-,Alexander J. Mercer,No alter egos found.,Prototype,-,-,Wildstorm,bad,"Gentek, The Infected",Dana Mercer (sister),50,80,42,90,100,50,-,-
success,15,Alex Mercer,Male,Human,0 cm,0 kg,-,-,Alexander J. Mercer,No alter egos found.,Zues,-,-,Wildstorm,bad,"Gentek, The Infected",Dana Mercer (sister),50,80,42,90,100,50,-,-
success,15,Alex Mercer,Male,Human,0 cm,0 kg,-,-,Alexander J. Mercer,No alter egos found.,Blacklight,-,-,Wildstorm,bad,"Gentek, The Infected",Dana Mercer (sister),50,80,42,90,100,50,-,-
success,16,Alex Woolsly,Male,null,-,- lb,-,-,Alex Woolsly,No alter egos found.,-,-,Heroes S02E16 - Building 26,NBC - Heroes,good,-,"Mr. Woolsly, Mrs. Woolsly, sister",null,37,null,null,null,null,Employee at Sam's Comics,"Costa Verde, CA"
success,16,Alex Woolsly,Male,null,0 cm,0 kg,-,-,Alex Woolsly,No alter egos found.,-,-,Heroes S02E16 - Building 26,NBC - Heroes,good,-,"Mr. Woolsly, Mrs. Woolsly, sister",null,37,null,null,null,null,Employee at Sam's Comics,"Costa Verde, CA"
success,17,Alfred Pennyworth,Male,Human,5'10,160 lb,Blue,Black,Alfred Thaddeus Crane Pennyworth,No alter egos found.,Alfred Beagle,-,"Batman #16 (April, 1943)",DC Comics,good,"Batman Family, Outsiders","Jarvis Pennyworth (father, deceased), Wilfred Pennyworth (older brother), Daphne Pennyworth (niece); Bruce Wayne (Batman, legal ward)",63,10,17,10,7,55,"Butler; Caretaker, former Actor; Field Medic; Government Agent",Wayne Manor; Batcave; Gotham City
